time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
1.746,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.749,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.756,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.760,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.763,,,,,,,,,,,,,,,,,,,,,0x23a,"[18, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.771,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.773,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.776,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.777,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.784,,,,,,,,,,,,,,,,,,,,,0x70b,[5],,,,,,
